Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
A$0.019,A$18.69,A$299,16 TB,,"Internal 3.5""",HDD,Used,"Western Digital WD 16TB HDD Ultrastar DC HC550 SATA 7200RPM 3.5"" Enterprise Hard Drive - WUH721816ALE6L4 (Renewed)","<a href=""https://www.amazon.com.au/dp/B09HVGDBYB"">Western Digital WD 16TB HDD Ultrastar DC HC550 SATA 7200RPM 3.5"" Enterprise Hard Drive - WUH721816ALE6L4 (Renewed)</a>"
A$0.020,A$19.55,A$196,10 TB,,"Internal 3.5""",HDD,Used,"Seagate Enterprise Capacity v6 10TB Internal Hard Drive ST10000NM0046 SATA 3.5"" HDD 256MB Cache","<a href=""https://www.amazon.com.au/dp/B0CW6K8DZ3"">Seagate Enterprise Capacity v6 10TB Internal Hard Drive ST10000NM0046 SATA 3.5"" HDD 256MB Cache</a>"
A$0.021,A$20.81,A$250,12 TB,,"Internal 3.5""",HDD,Used,Seagate Barracuda Pro 12TB Internal Hard Drive Performance HDD – 3.5 Inch SATA 6 Gb/s 7200 RPM 256MB Cache for Computer Desktop (ST12000DM0007) (Renewed),"<a href=""https://www.amazon.com.au/dp/B082YJHBHC"">Seagate Barracuda Pro 12TB Internal Hard Drive Performance HDD – 3.5 Inch SATA 6 Gb/s 7200 RPM 256MB Cache for Computer Desktop (ST12000DM0007) (Renewed)</a>"
A$0.023,A$23.11,A$231,10 TB,5 years,"Internal 3.5""",HDD,Used,MDD - HGST He10 (HUH721010ALE601) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive - 5 Year Warranty (Renewed),"<a href=""https://www.amazon.com.au/dp/B0BSB7J2Z8"">MDD - HGST He10 (HUH721010ALE601) 10TB 7200RPM 128MB Cache SATA 6.0Gb/s 3.5inch Enterprise Hard Drive - 5 Year Warranty (Renewed)</a>"
A$0.023,A$23.38,A$327,14 TB,,"Internal 3.5""",HDD,Used,"Western Digital Ultrastar DC SATA HDD - 7200 RPM Class, SATA 6 Gb/s, 3.5"" 14TB","<a href=""https://www.amazon.com.au/dp/B07KPL474H"">Western Digital Ultrastar DC SATA HDD - 7200 RPM Class, SATA 6 Gb/s, 3.5"" 14TB</a>","<a href=""https://www.amazon.com.au/dp/B07KPL474H"">Western Digital Ultrastar DC SATA HDD - 7200 RPM Class, SATA 6 Gb/s, 3.5"" 14TB</a>"
A$0.026,A$26.45,A$423,16 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X16 3.5"" 16000 GB Serial ATA III","<a href=""https://www.amazon.com.au/dp/B07XM9RM95"">Seagate Exos X16 3.5"" 16000 GB Serial ATA III</a>"
A$0.027,A$27.21,A$544,20 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion Desktop 20TB External Hard Drive, for Desktop and Laptop, Black","<a href=""https://www.amazon.com.au/dp/B0B2PZWD81"">Seagate Expansion Desktop 20TB External Hard Drive, for Desktop and Laptop, Black</a>"
A$0.028,A$28.35,A$227,8 TB,2 years,"Internal 3.5""",HDD,New,"Western Digital 8TB WD Blue PC Hard Drive HDD - 5640 RPM, SATA 6 Gb/s, 128 MB Cache, 3.5"" - WD80EAZZ","<a href=""https://www.amazon.com.au/dp/B09KMGQG5Y"">Western Digital 8TB WD Blue PC Hard Drive HDD - 5640 RPM, SATA 6 Gb/s, 128 MB Cache, 3.5"" - WD80EAZZ</a>"
A$0.029,A$28.50,A$228,8 TB,2 years,"Internal 3.5""",HDD,New,"WD Blue 8TB 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, 256MB Cache, 2 Year Warranty","<a href=""https://www.amazon.com.au/dp/B0CMQ8XBBR"">WD Blue 8TB 3.5"" Internal Hard Drive - 5400 RPM Class, SATA 6 Gb/s, 256MB Cache, 2 Year Warranty</a>"
A$0.029,A$28.50,A$28,1 TB,,"Internal 3.5""",HDD,Used,"Western Digital WD1002FBYS-43P1B0-1TB 7.2K SATA 3.0Gbps 3.5"" 32MB Hard Drive (Renewed)","<a href=""https://www.amazon.com.au/dp/B0D789SGBX"">Western Digital WD1002FBYS-43P1B0-1TB 7.2K SATA 3.0Gbps 3.5"" 32MB Hard Drive (Renewed)</a>"
