Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,010","€10,26",€123,12 TB,,"Internal 3.5""",HDD,Used,"Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)","<a href=""https://www.amazon.es/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)</a>","<a href=""https://www.amazon.es/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)</a>"
"€0,011","€11,50",€115,10 TB,,"Internal 3.5""",HDD,Used,Seagate Enterprise Capacity v6 Disco Duro Interno de 10 TB ST10000NM0046 SATA HDD,"<a href=""https://www.amazon.es/dp/B0CW6K8DZ3"">Seagate Enterprise Capacity v6 Disco Duro Interno de 10 TB ST10000NM0046 SATA HDD</a>"
"€0,012","€11,78",€165,14 TB,,"Internal 3.5""",HDD,Used,"ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)","<a href=""https://www.amazon.es/dp/B084Z4LGN7"">ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)</a>","<a href=""https://www.amazon.es/dp/B084Z4LGN7"">ST14000NM001G - Disco duro (3,5"", SATA 6Gb/s, 14TB, 7200RPM, 512e/4Kn, para aplicaciones empresariales)</a>"
"€0,012","€11,78",€165,14 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X16 ST14000NM001G 14TB Interne Server Festplatte 3,5 Zoll HDD SATA 6Gb/s 7200RPM 256MB Cache (Reacondicionado)","<a href=""https://www.amazon.es/dp/B0D6BR9HLV"">Seagate Exos X16 ST14000NM001G 14TB Interne Server Festplatte 3,5 Zoll HDD SATA 6Gb/s 7200RPM 256MB Cache (Reacondicionado)</a>"
"€0,012","€12,38",€149,12 TB,,"Internal 3.5""",HDD,New,"Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)","<a href=""https://www.amazon.es/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)</a>","<a href=""https://www.amazon.es/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 - Disco duro (12 TB, interno, 3,5 pulgadas, SATA 6 Gb/s, 7200 RPM, caché de 256 MB)</a>"
"€0,014","€13,74",€220,16 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)","<a href=""https://www.amazon.es/dp/B07SJTST6T"">Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)</a>","<a href=""https://www.amazon.es/dp/B07SJTST6T"">Seagate IronWolf Pro, 16TB, NAS, Disco duro interno, HDD, CMR 3,5"" SATA 6GB/s, caché 256 MB, almacenamiento RAID, 3 años Rescue Services (ST16000NE000)</a>"
"€0,015","€14,99",€120,8 TB,,"Internal 3.5""",HDD,Used,"Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)","<a href=""https://www.amazon.es/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)</a>","<a href=""https://www.amazon.es/dp/B075WYBQXJ"">Seagate BarraCuda, 8 TB, disco duro interno, SATA de 6 Gbit/s, 3,5"", 5400 RPM, caché de 256 MB para PC de escritorio (ST8000DM004)</a>"
"€0,016","€15,82",€253,16 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X16 ST16000NM001G - Disco Duro Interno de 16 TB SATA 6Gb/s 7200 RPM, 256 MB","<a href=""https://www.amazon.es/dp/B07XM9RM95"">Seagate Exos X16 ST16000NM001G - Disco Duro Interno de 16 TB SATA 6Gb/s 7200 RPM, 256 MB</a>"
"€0,016","€15,94",€255,16 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X16 ST16000NM001G - Disco duro interno (16 TB, 8,9 cm/3,5"", SATA III)","<a href=""https://www.amazon.es/dp/B0893P9C3X"">Seagate Exos X16 ST16000NM001G - Disco duro interno (16 TB, 8,9 cm/3,5"", SATA III)</a>"
"€0,016","€16,17",€291,18 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)","<a href=""https://www.amazon.es/dp/B08JV6PP9B"">Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)</a>","<a href=""https://www.amazon.es/dp/B08JV6PP9B"">Seagate Exos X18, 18 TB, Disco Duro Interno Enterprise Classe, SATA HDD, CMR 3,5"", Hyperscale SATA 6 GB/s, 7.200 RPM, 512e, 4 KB FastFormat (ST18000NM000J)</a>"
