Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
"€0,006","€5,645",€68,12 TB,,Tape,LTO-8,Used,"Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black","<a href=""https://www.amazon.fr/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>","<a href=""https://www.amazon.fr/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>"
"€0,006","€6,076",€73,12 TB,,Tape,LTO-8,New,"Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black","<a href=""https://www.amazon.fr/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>","<a href=""https://www.amazon.fr/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>"
"€0,010","€9,940",€20,2 TB,,"External 3.5""",HDD,New,"RPixc Portable 2TB USB3.1 External Portable Disque Dur pour PC, Mac, Bureau, Chromebook(2 to, Silver-B)","<a href=""https://www.amazon.fr/dp/B0CDSGSV5W"">RPixc Portable 2TB USB3.1 External Portable Disque Dur pour PC, Mac, Bureau, Chromebook(2 to, Silver-B)</a>"
"€0,012","€11,78",€165,14 TB,,"Internal 3.5""",HDD,Used,"ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise","<a href=""https://www.amazon.fr/dp/B084Z4LGN7"">ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise</a>","<a href=""https://www.amazon.fr/dp/B084Z4LGN7"">ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise</a>"
"€0,012","€12,49",€150,12 TB,,"Internal 3.5""",HDD,Used,"Seagate Enterprise Capacity v7 ST12000NM0127 - Disque dur - 12 To - Interne - 3.5"" - SATA 6 Gb/s - 7200 tr/min - Cache 256 Mo","<a href=""https://www.amazon.fr/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 - Disque dur - 12 To - Interne - 3.5"" - SATA 6 Gb/s - 7200 tr/min - Cache 256 Mo</a>"
"€0,012","€12,49",€150,12 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf ST12000VN0007 Interne NAS Festplatte 3,5 Zoll HDD SATA3, 7200 tr/min, 256 Mo de cache (renouvelé) 12 To","<a href=""https://www.amazon.fr/dp/B07KR8ZL5H"">Seagate IronWolf ST12000VN0007 Interne NAS Festplatte 3,5 Zoll HDD SATA3, 7200 tr/min, 256 Mo de cache (renouvelé) 12 To</a>"
"€0,012","€12,50",€200,16 TB,5 years,"Internal 3.5""",HDD,Used,"Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)","<a href=""https://www.amazon.fr/dp/B08JV7N6J1"">Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)</a>","<a href=""https://www.amazon.fr/dp/B08JV7N6J1"">Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)</a>"
"€0,012","€12,50",€200,16 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X18 Enterprise Disque dur 16 To CMR 3,5"" Hyperscale SATA, Numéro de modèle : ST16000NM000J (Reconditionné)","<a href=""https://www.amazon.fr/dp/B0CF5XVHMS"">Seagate Exos X18 Enterprise Disque dur 16 To CMR 3,5"" Hyperscale SATA, Numéro de modèle : ST16000NM000J (Reconditionné)</a>"
"€0,014","€13,74",€220,16 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)","<a href=""https://www.amazon.fr/dp/B07SJTST6T"">Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)</a>","<a href=""https://www.amazon.fr/dp/B07SJTST6T"">Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)</a>"
"€0,015","€14,99",€120,8 TB,,"Internal 3.5""",HDD,Used,"Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)","<a href=""https://www.amazon.fr/dp/B075WYBQXJ"">Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)</a>","<a href=""https://www.amazon.fr/dp/B075WYBQXJ"">Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)</a>"
"€0,015","€15,42",€247,16 TB,2 years,"Internal 3.5""",HDD,New,Seagate Exos X16 ST16000NM001G - Disque Dur - 16 to - Interne - SATA 6Gb/s - 7200 Tours/Min - mémoire Tampon : 256 Mo,"<a href=""https://www.amazon.fr/dp/B07XM9RM95"">Seagate Exos X16 ST16000NM001G - Disque Dur - 16 to - Interne - SATA 6Gb/s - 7200 Tours/Min - mémoire Tampon : 256 Mo</a>"
"€0,015","€15,47",€278,18 TB,5 years,"Internal 3.5""",HDD,Used,SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To,"<a href=""https://www.amazon.fr/dp/B08JV6PP9B"">SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To</a>","<a href=""https://www.amazon.fr/dp/B08JV6PP9B"">SEAGATE Exos X18 3 5 SATA 6Gb s 256Mo 18To</a>"
"€0,017","€17,14",€103,6 TB,,"Internal 3.5""",HDD,New,"Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA","<a href=""https://www.amazon.fr/dp/B00J6ONE7W"">Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA</a>","<a href=""https://www.amazon.fr/dp/B00J6ONE7W"">Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA</a>"
"€0,017","€17,14",€240,14 TB,,"Internal 3.5""",HDD,New,"ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise","<a href=""https://www.amazon.fr/dp/B084Z4LGN7"">ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise</a>","<a href=""https://www.amazon.fr/dp/B084Z4LGN7"">ST14000NM001G Disque Dur 3.5"" SATA 6Gb/s 14To 7200RPM 512e/4Kn Enterprise</a>"
"€0,018","€17,50",€105,6 TB,,"Internal 3.5""",HDD,Used,"Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA","<a href=""https://www.amazon.fr/dp/B00J6ONE7W"">Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA</a>","<a href=""https://www.amazon.fr/dp/B00J6ONE7W"">Seagate ST6000NM0024 Disque Dur Interne 3,5"" 6 to SATA</a>"
"€0,018","€17,62",€282,16 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)","<a href=""https://www.amazon.fr/dp/B07SJTST6T"">Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)</a>","<a href=""https://www.amazon.fr/dp/B07SJTST6T"">Seagate IronWolf Pro 16 To, Disque dur interne NAS HDD, CMR 3,5"" SATA 6 Gbit/s, 256 Mo de mémoire cache, pour NAS RAID, services Rescue valables 3 ans (ST16000NE000)</a>"
"€0,018","€17,76",€142,8 TB,,"Internal 3.5""",HDD,New,"Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)","<a href=""https://www.amazon.fr/dp/B075WYBQXJ"">Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)</a>","<a href=""https://www.amazon.fr/dp/B075WYBQXJ"">Seagate BarraCuda, 8 To, disque dur interne, SATA 6 Gbit/s, 3,5 pouces, 5 400 tr/min, 256 Mo de cache pour PC de bureau (ST8000DM004)</a>"
"€0,018","€18,22",€291,16 TB,5 years,"Internal 3.5""",HDD,New,"Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)","<a href=""https://www.amazon.fr/dp/B08JV7N6J1"">Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)</a>","<a href=""https://www.amazon.fr/dp/B08JV7N6J1"">Seagate Exos X18, 16 To, Disque dur interne d’entreprise HDD, CMR 3,5'', Hyperscale SATA 6 Go/s 7200 TR/Min 512e 4Kn Fast Format Faible Latence avec Cache amélioré Référence (ST16000NM000J)</a>"
