Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
₹0,₹62.,"₹3,299",53 TB,3 years,Compact,Flash,New,"Transcend Japan TS256MCF180I Commercial and Industrial Embedded CF Card, 256 MB Temperature Expander, Fake SLC/pSLC Mode, Heavy Duty (TBW: 53TB), 3 Year Warranty","<a href=""https://www.amazon.in/dp/B0B79DWJLS"">Transcend Japan TS256MCF180I Commercial and Industrial Embedded CF Card, 256 MB Temperature Expander, Fake SLC/pSLC Mode, Heavy Duty (TBW: 53TB), 3 Year Warranty</a>"
₹1,"₹1,172","₹3,517",3 TB,2 years,"Internal 3.5""",HDD,New,"Matrix 3TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty","<a href=""https://www.amazon.in/dp/B0CKBWWXVT"">Matrix 3TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty</a>"
₹1,"₹1,400","₹5,599",4 TB,2 years,"Internal 3.5""",HDD,New,"Matrix 4TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty","<a href=""https://www.amazon.in/dp/B0BY8KGWNJ"">Matrix 4TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty</a>"
₹2,"₹1,689","₹3,378",2 TB,2 years,"Internal 3.5""",HDD,New,"Matrix 2TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty","<a href=""https://www.amazon.in/dp/B0BY8LJRJL"">Matrix 2TB SATA Hard Drive for Desktop (HDD) 3.5 Inch SATA 6 GB/s 7200 RPM, 2 Year Warranty</a>"
₹2,"₹1,798",₹899,500 GB,2 years,"Internal 3.5""",HDD,New,"EVERSTORE 500GB SATA III Internal Hard Drive, 3.5-Inch Surveillance & Desktop, 2 Year Warranty, Purple","<a href=""https://www.amazon.in/dp/B0D8BGDN5L"">EVERSTORE 500GB SATA III Internal Hard Drive, 3.5-Inch Surveillance & Desktop, 2 Year Warranty, Purple</a>"
₹2,"₹1,798",₹899,500 GB,2 years,"Internal 2.5""",HDD,New,"AYKAIT 500GB Ultra Slim 2.5 SATA 6Gb/s High-Performance Laptop Hard Drive – 32MB Cache, Fast Data Transfer, 2-Year Warranty (AKT24ACL)","<a href=""https://www.amazon.in/dp/B0DJPMP9ZB"">AYKAIT 500GB Ultra Slim 2.5 SATA 6Gb/s High-Performance Laptop Hard Drive – 32MB Cache, Fast Data Transfer, 2-Year Warranty (AKT24ACL)</a>"
₹2,"₹1,850","₹3,699",2 TB,2 years,"Internal 3.5""",HDD,New,D25 2TB Surveillance & Desktop Internal Hard Drive HDD 3.5 Inch SATA 6Gb/s 5400 RPM 256MB Cache for DVR NVR Security Camera Systems with 2 Year Replacement Warranty.,"<a href=""https://www.amazon.in/dp/B0CPY3ZLM4"">D25 2TB Surveillance & Desktop Internal Hard Drive HDD 3.5 Inch SATA 6Gb/s 5400 RPM 256MB Cache for DVR NVR Security Camera Systems with 2 Year Replacement Warranty.</a>"
₹2,"₹1,850","₹3,699",2 TB,2 years,"Internal 3.5""",HDD,New,D25 Video 2TB SATA Hard Disk for HIK-Vision (iDS-7108HQHI-M1/S) 8 Channel HD DVR | 2TB Hard Disk for CCTV Camera DVR | 2TB SATA Internal Surveillance Hard Drive | 2 Year Warranty,"<a href=""https://www.amazon.in/dp/B0CSGBR8TB"">D25 Video 2TB SATA Hard Disk for HIK-Vision (iDS-7108HQHI-M1/S) 8 Channel HD DVR | 2TB Hard Disk for CCTV Camera DVR | 2TB SATA Internal Surveillance Hard Drive | 2 Year Warranty</a>"
₹2,"₹1,850","₹3,699",2 TB,2 years,"Internal 3.5""",HDD,New,D25 Video 2TB Hard Disk for 4 Channel / 8 Channel / 16 Channel / 32 Channel CCTV Camera DVR l 2TB Surveillance Hard Disk for CCTV Camera DVR,"<a href=""https://www.amazon.in/dp/B0DDJFVQRC"">D25 Video 2TB Hard Disk for 4 Channel / 8 Channel / 16 Channel / 32 Channel CCTV Camera DVR l 2TB Surveillance Hard Disk for CCTV Camera DVR</a>"
₹2,"₹1,998",₹999,500 GB,2 years,"Internal 3.5""",HDD,New,"AYKAIT 500GB 3.5 Internal PC & CCTV Hard Drive - 6Gb/s, 7200 RPM, High-Speed Data Transfer, 64MB Cache, Boost Performance 2-Year Warranty","<a href=""https://www.amazon.in/dp/B0DJDGFHYR"">AYKAIT 500GB 3.5 Internal PC & CCTV Hard Drive - 6Gb/s, 7200 RPM, High-Speed Data Transfer, 64MB Cache, Boost Performance 2-Year Warranty</a>"
₹2,"₹1,998",₹999,500 GB,2 years,"Internal 3.5""",HDD,Used,"GEONIX Refurbished 500 GB SATA Hard Drive for Desktop–8.89 cm(3.5 Inch), 6 Gb/s ‎5400 RPM High Speed Data Transfer, Heavy Duty Hard Disk with 64 MB Cache for Computer PC, 2 Years Warranty","<a href=""https://www.amazon.in/dp/B0DPL181CR"">GEONIX Refurbished 500 GB SATA Hard Drive for Desktop–8.89 cm(3.5 Inch), 6 Gb/s ‎5400 RPM High Speed Data Transfer, Heavy Duty Hard Disk with 64 MB Cache for Computer PC, 2 Years Warranty</a>"
₹2,"₹2,050","₹2,050",1 TB,1 year,"Internal 2.5""",HDD,New,"KINGSTER 1 TB Internal Hard Drive HDD 2.5 Inch SATA 6 Gb/s,5400 RPM,128MB Cache for Laptop,Computer","<a href=""https://www.amazon.in/dp/B0D6Z4BKQ2"">KINGSTER 1 TB Internal Hard Drive HDD 2.5 Inch SATA 6 Gb/s,5400 RPM,128MB Cache for Laptop,Computer</a>"
