Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.00 ,$0.77 ,$92 ,12 TB x10,,Tape,LTO-8,New,"10 Pack 01PL041 - IBM LTO-8 Ultrium, 12TB/ 30TB, Part # 01PL041","<a href=""https://www.amazon.com/dp/B07CGFMFTM"">10 Pack 01PL041 - IBM LTO-8 Ultrium, 12TB/ 30TB, Part # 01PL041</a>",,,,
$0.00 ,$4.42 ,"$1,061 ",12 TB x20,,Tape,LTO-8,New,Library Pack Qty20 Lto 8 Data Cartridges,"<a href=""https://www.amazon.com/dp/B077LQSKT2"">Library Pack Qty20 Lto 8 Data Cartridges</a>",,,,
$0.01 ,$4.86 ,$58 ,12 TB,,Tape,LTO-8,New,HPE Standard Storage Media - LTO Ultrium Green (Q2078A),"<a href=""https://www.amazon.com/dp/B078J22TMZ"">HPE Standard Storage Media - LTO Ultrium Green (Q2078A)</a>","<a href=""https://www.amazon.com/dp/B0788SKQRN"">HPE Standard Storage Media - LTO Ultrium Green (Q2078A)</a>","<a href=""https://www.amazon.com/dp/B0788SKQRN"">HPE Standard Storage Media - LTO Ultrium Green (Q2078A)</a>",,
$0.01 ,$5.00 ,"$1,200 ",12 TB x20,5 years,Tape,LTO-8,New,Hewlet Packard HP LTO Tape Q2078AN LTO8 12TB/30TB Label Fix (20,"<a href=""https://www.amazon.com/dp/B079YPMMX5"">Hewlet Packard HP LTO Tape Q2078AN LTO8 12TB/30TB Label Fix (20</a>",,,,
$0.01 ,$5.00 ,"$1,201 ",12 TB x20,,Tape,LTO-8,New,IBM LTO-8 Tape Cartridge 20-Pack Part# 01PL054,"<a href=""https://www.amazon.com/dp/B07D4P99YC"">IBM LTO-8 Tape Cartridge 20-Pack Part# 01PL054</a>",,,,
$0.01 ,$5.03 ,$90 ,18 TB,2 years,Tape,LTO-9,New,Ibm Lto Ultrium-9 02xw568 18tb/45tb Lto-9,"<a href=""https://www.amazon.com/dp/B09HTNSCVK"">Ibm Lto Ultrium-9 02xw568 18tb/45tb Lto-9</a>",,,,
$0.01 ,$5.12 ,"$1,228 ",12 TB x20,,Tape,LTO-8,New,Lto-8 Ultrium 30 Tb Rw 20 Data,"<a href=""https://www.amazon.com/dp/B07C7CKR23"">Lto-8 Ultrium 30 Tb Rw 20 Data</a>",,,,
$0.01 ,$5.12 ,"$1,229 ",12 TB x20,,Tape,LTO-8,New,HPE LTO-8 Ultrium 30TB RW Custom Labeled Library Pack 20 Data Cartridges with Cases,"<a href=""https://www.amazon.com/dp/B07VXRPZ88"">HPE LTO-8 Ultrium 30TB RW Custom Labeled Library Pack 20 Data Cartridges with Cases</a>",,,,
$0.01 ,$5.14 ,"$1,850 ",18 TB x20,,Tape,LTO-9,New,Hewlett Packard Enterprise HPE LTO-9 Ultrium 45TB RW Non Custom Labeled 20 Data Cartridges with Cases,"<a href=""https://www.amazon.com/dp/B09H5BW9WC"">Hewlett Packard Enterprise HPE LTO-9 Ultrium 45TB RW Non Custom Labeled 20 Data Cartridges with Cases</a>",,,,
$0.01 ,$5.17 ,$62 ,12 TB,,Tape,LTO-8,New,"IBM 01PL041 LTO-8 Ultrium, 12TB/30TB, Part # 01PL041","<a href=""https://www.amazon.com/dp/B079YLWNZ6"">IBM 01PL041 LTO-8 Ultrium, 12TB/30TB, Part # 01PL041</a>",,,,
$0.01 ,$5.17 ,"$1,860 ",18 TB x20,2 years,Tape,LTO-9,New,Quantum LTO 9 Data Cartridge 20 pack,"<a href=""https://www.amazon.com/dp/B0CYQHSDQN"">Quantum LTO 9 Data Cartridge 20 pack</a>",,,,
$0.01 ,$5.18 ,$622 ,12 TB x10,,Tape,LTO-8,New,"10 Pack Q2078A- HP LTO Ultrium 8, 12TB/ 30TB, Part # Q2078A- 10 HP LTO-8 Tapes","<a href=""https://www.amazon.com/dp/B07CGVZFNR"">10 Pack Q2078A- HP LTO Ultrium 8, 12TB/ 30TB, Part # Q2078A- 10 HP LTO-8 Tapes</a>",,,,
$0.01 ,$5.25 ,$630 ,12 TB x10,,Tape,LTO-8,New,Q2078A HPE LTO 8 10 Pack of Data cartridges,"<a href=""https://www.amazon.com/dp/B0BFJXH2H5"">Q2078A HPE LTO 8 10 Pack of Data cartridges</a>",,,,
$0.01 ,$5.26 ,$631 ,12 TB x10,2 years,Tape,LTO-8,New,Quantum Lto 8 - 10 Pack,"<a href=""https://www.amazon.com/dp/B0DJHGZKX4"">Quantum Lto 8 - 10 Pack</a>",,,,
$0.01 ,$5.32 ,$64 ,12 TB,,Tape,LTO-8,New,"MR-L8MQN-01- Quantum LTO Ultrium 8, 12TB/ 30TB, Part # MR-L8MQN-01","<a href=""https://www.amazon.com/dp/B07CJTXT5M"">MR-L8MQN-01- Quantum LTO Ultrium 8, 12TB/ 30TB, Part # MR-L8MQN-01</a>",,,,
$0.01 ,$5.42 ,$98 ,18 TB,,Tape,LTO-9,New,HPE LTO-9 Ultrium 45TB RW Data Cartridge,"<a href=""https://www.amazon.com/dp/B09GBGDMJN"">HPE LTO-9 Ultrium 45TB RW Data Cartridge</a>",,,,
$0.01 ,$5.42 ,$98 ,18 TB,,Tape,LTO-9,New,Fuji 16659047film Lto Ultrium 9 18tb Native 45tb Compressed Tape Cartridge With Case,"<a href=""https://www.amazon.com/dp/B0C6BQ1CPP"">Fuji 16659047film Lto Ultrium 9 18tb Native 45tb Compressed Tape Cartridge With Case</a>",,,,
$0.01 ,$5.63 ,$68 ,12 TB,,Tape,LTO-8,New,Quantum LTO-8 Data Cartridge/Tape,"<a href=""https://www.amazon.com/dp/B07H44V146"">Quantum LTO-8 Data Cartridge/Tape</a>",,,,
$0.01 ,$5.67 ,$68 ,12 TB,,Tape,LTO-8,New,"IBM 01PL041 LTO-8 Ultrium, 12TB/30TB, Part # 01PL041 cartucho Cinta","<a href=""https://www.amazon.com/dp/B0B9Q4VT5H"">IBM 01PL041 LTO-8 Ultrium, 12TB/30TB, Part # 01PL041 cartucho Cinta</a>",,,,
$0.01 ,$5.67 ,"$1,360 ",12 TB x20,,Tape,LTO-8,New,Hewlett Packard Enterprise HPE LTO-8 Ultrium 30TB RW Custom Labeled Library Pack 20 Data Cartridges with Cases - LTO-8 - Rewri,"<a href=""https://www.amazon.com/dp/B07LH77P56"">Hewlett Packard Enterprise HPE LTO-8 Ultrium 30TB RW Custom Labeled Library Pack 20 Data Cartridges with Cases - LTO-8 - Rewri</a>",,,,
$0.01 ,$5.70 ,"$1,367 ",12 TB x20,,Tape,LTO-8,New,Hewlett-Packard HPE LTO Ultrium-8 Data Cartridge - LTO-8 - Rewritable - Labeled - 12 TB (Native) / 30 TB (Compresse,"<a href=""https://www.amazon.com/dp/B07LH97JZ1"">Hewlett-Packard HPE LTO Ultrium-8 Data Cartridge - LTO-8 - Rewritable - Labeled - 12 TB (Native) / 30 TB (Compresse</a>",,,,
$0.01 ,$5.99 ,$9 ,1.5 TB,,Tape,LTO-5,New,Fujifilm LTO Ultrium 5 1.5TB/3TB Cartridge w/case,"<a href=""https://www.amazon.com/dp/B003F8JGPO"">Fujifilm LTO Ultrium 5 1.5TB/3TB Cartridge w/case</a>",,,,
$0.01 ,$6.33 ,$190 ,1.5 TB x20,,Tape,LTO-5,New,Fujifilm Lto Ultrium 5 1.5Tb/3Tb Library 20 Pack,"<a href=""https://www.amazon.com/dp/B00TGP3KES"">Fujifilm Lto Ultrium 5 1.5Tb/3Tb Library 20 Pack</a>",,,,
$0.01 ,$6.63 ,$199 ,1.5 TB x20,,Tape,LTO-5,Used,Quantum MR-L5MQN-20 Data Cartridge - LTO Ultrium - LTO-5-20 Pack,"<a href=""https://www.amazon.com/dp/B003CNXO8W"">Quantum MR-L5MQN-20 Data Cartridge - LTO Ultrium - LTO-5-20 Pack</a>","<a href=""https://www.amazon.com/dp/B003CNXO8W"">Quantum MR-L5MQN-20 Data Cartridge - LTO Ultrium - LTO-5-20 Pack</a>",,,
$0.01 ,$6.83 ,$820 ,6 TB x20,,Tape,LTO-7,New,Hewlett Packard Enterprise 20 x LTO Ultrium 7-9 TB / 22.5 TB - Write-on Labels,"<a href=""https://www.amazon.com/dp/B079P1FYXG"">Hewlett Packard Enterprise 20 x LTO Ultrium 7-9 TB / 22.5 TB - Write-on Labels</a>",,,,
$0.01 ,$7.17 ,$86 ,12 TB,,Tape,LTO-8,New,Fuji Ultrium 8 12TB/30TB,"<a href=""https://www.amazon.com/dp/B07X93Z23X"">Fuji Ultrium 8 12TB/30TB</a>",,,,
$0.01 ,$7.25 ,$870 ,6 TB x20,,Tape,LTO-7,New,IBM 38L7315 Lto-Ultrium Data Cartridge44; 6TB & 15TB Bafe Library Pack,"<a href=""https://www.amazon.com/dp/B07BVMJJR8"">IBM 38L7315 Lto-Ultrium Data Cartridge44; 6TB & 15TB Bafe Library Pack</a>",,,,
