Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
kr0.032,kr31.95,kr383,12 TB,,Tape,LTO-8,New,HPE Data Cart/LTO-8 Ultrium 30 TB mask,"<a href=""https://www.amazon.se/dp/B078KGVM84"">HPE Data Cart/LTO-8 Ultrium 30 TB mask</a>"
kr0.042,kr41.69,kr750,18 TB,,Tape,LTO-9,New,TANDBERG – Overland OT LTO-9 data-patron enkel med begränsad,"<a href=""https://www.amazon.se/dp/B0BLF322YB"">TANDBERG – Overland OT LTO-9 data-patron enkel med begränsad</a>"
kr0.062,kr62.00,kr744,12 TB,,Tape,LTO-8,New,"Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black","<a href=""https://www.amazon.se/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>"
kr0.067,kr67.06,kr1 207,18 TB,2 years,Tape,LTO-9,New,"Quantum Ultrium LTO 9 Data Cartridge 18TB Native / 45TB 2.5:1 Compression, Black (MR-L9MQN-01)","<a href=""https://www.amazon.se/dp/B09HTLMPH9"">Quantum Ultrium LTO 9 Data Cartridge 18TB Native / 45TB 2.5:1 Compression, Black (MR-L9MQN-01)</a>"
kr0.075,kr74.85,kr898,12 TB,,Tape,LTO-8,New,Media Tape LTO8,"<a href=""https://www.amazon.se/dp/B079YLWNZ6"">Media Tape LTO8</a>"
kr0.075,kr75.20,kr4 512,12 TB x5,2 years,Tape,LTO-8,New,TANDBERG - OVERLAND OT LTO-8 datakartong 5-pack W/BC med begränsad livstid WARRA,"<a href=""https://www.amazon.se/dp/B0BLDVB2RP"">TANDBERG - OVERLAND OT LTO-8 datakartong 5-pack W/BC med begränsad livstid WARRA</a>"
kr0.077,kr76.60,kr18 385,12 TB x20,,Tape,LTO-8,New,HP LTO TAPE Q2078AN LTO8 12TB/30TB etikettfixering (20,"<a href=""https://www.amazon.se/dp/B079YPMMX5"">HP LTO TAPE Q2078AN LTO8 12TB/30TB etikettfixering (20</a>"
kr0.077,kr77.02,kr924,12 TB,,Tape,LTO-8,New,Lto Ultrium 8 maskar datakassett,"<a href=""https://www.amazon.se/dp/B077LS2Z2C"">Lto Ultrium 8 maskar datakassett</a>"
kr0.078,kr78.10,kr1 406,18 TB,2 years,Tape,LTO-9,New,HP LTO9 18TB/45TB Ultrium LTO Tape Q2079A blå,"<a href=""https://www.amazon.se/dp/B09GBGDMJN"">HP LTO9 18TB/45TB Ultrium LTO Tape Q2079A blå</a>"
kr0.079,kr78.68,kr944,12 TB,,Tape,LTO-8,New,"HP Q2078A Ultrium 8 tum interna bandenheter, 12 TB/30 TB","<a href=""https://www.amazon.se/dp/B0788SKQRN"">HP Q2078A Ultrium 8 tum interna bandenheter, 12 TB/30 TB</a>"
kr0.081,kr81.11,kr7 300,18 TB x5,,Tape,LTO-9,New,TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC med begränsad livsstil WARRA,"<a href=""https://www.amazon.se/dp/B0BLDXYW1T"">TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC med begränsad livsstil WARRA</a>"
kr0.082,kr81.58,kr1 468,18 TB,,Tape,LTO-9,New,HP E - LTO Ultrium 9-18 TB / 45 TB - skrivbara etiketter - ljusblå,"<a href=""https://www.amazon.se/dp/B09HQXKLPP"">HP E - LTO Ultrium 9-18 TB / 45 TB - skrivbara etiketter - ljusblå</a>"
kr0.084,kr84.48,kr1 014,12 TB,,Tape,LTO-8,New,Quantum LTO-8 datakassett/tejp,"<a href=""https://www.amazon.se/dp/B07H44V146"">Quantum LTO-8 datakassett/tejp</a>"
kr0.090,kr90.10,kr1 081,12 TB,2 years,Tape,LTO-8,New,TANDBERG – Overland OT LTO-8 data-patron enkel med begränsad,"<a href=""https://www.amazon.se/dp/B0BLFTHYDM"">TANDBERG – Overland OT LTO-8 data-patron enkel med begränsad</a>"
kr0.092,kr91.86,kr1 102,12 TB,,Tape,LTO-8,New,Fuji Ultrium 8 12TB/30TB,"<a href=""https://www.amazon.se/dp/B07X93Z23X"">Fuji Ultrium 8 12TB/30TB</a>"
kr0.117,kr117,kr27 979,12 TB x20,,Tape,LTO-8,New,"Quantum Ultrium 8 Library Pack 12 000 GB LTO – tomma databand (LTO, 12000 GB, 30 000 GB, 2,5:1, röd, 16–35 °C)","<a href=""https://www.amazon.se/dp/B077LQSKT2"">Quantum Ultrium 8 Library Pack 12 000 GB LTO – tomma databand (LTO, 12000 GB, 30 000 GB, 2,5:1, röd, 16–35 °C)</a>"
kr0.120,kr120,kr7 180,12 TB x5,,Tape,LTO-8,New,Lenovo - 5 x LTO Ultrium 8-12 t/30 to - för TS2280 6160-H8S,"<a href=""https://www.amazon.se/dp/B07BX51QNQ"">Lenovo - 5 x LTO Ultrium 8-12 t/30 to - för TS2280 6160-H8S</a>"
kr0.123,kr123,kr1 480,12 TB,,"Internal 3.5""",HDD,Used,"Seagate Enterprise Capacity v7 ST12000NM0127 – Hårddisk – 12 TB – intern – 3,5 tum – SATA 6 Gb/s – 7200 RPM – 256 MB cache","<a href=""https://www.amazon.se/dp/B0CFBF7SV8"">Seagate Enterprise Capacity v7 ST12000NM0127 – Hårddisk – 12 TB – intern – 3,5 tum – SATA 6 Gb/s – 7200 RPM – 256 MB cache</a>"
kr0.140,kr140,kr1 399,10 TB,,"Internal 3.5""",HDD,New,"Seagate Enterprise Capacity v6 10 TB intern hårddisk ST10000NM0046 SATA 3,5-tums HDD 256 MB cache","<a href=""https://www.amazon.se/dp/B0CW6K8DZ3"">Seagate Enterprise Capacity v6 10 TB intern hårddisk ST10000NM0046 SATA 3,5-tums HDD 256 MB cache</a>"
kr0.140,kr140,kr50 536,18 TB x20,,Tape,LTO-9,New,Quantum MR-L9MQN-20 datakassett Lto Ultrium 9 [lto-9] 20-pack,"<a href=""https://www.amazon.se/dp/B0C47NQ8S8"">Quantum MR-L9MQN-20 datakassett Lto Ultrium 9 [lto-9] 20-pack</a>"
kr0.143,kr143,kr1 999,14 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X16 ST14000NM001G 14TB Internal Server Festplatte 3,5 Zoll HDD SATA 6Gb/s 7200RPM 256MB cache (renoverad)","<a href=""https://www.amazon.se/dp/B0D6BR9HLV"">Seagate Exos X16 ST14000NM001G 14TB Internal Server Festplatte 3,5 Zoll HDD SATA 6Gb/s 7200RPM 256MB cache (renoverad)</a>"
kr0.150,kr150,kr600,4 TB,,M.2,NVMe,New,"ORICO 20 Gbps M.2 NVME SSD-höljesadapter, USB 3.2 Gen2 Typ-C till NVME PCI-E M-Key Solid State-Drive Aluminium Externt fodral för SSD-storlek 2230/2242/2260/2280, upp till 4TB(M2PAC3-G20, grå)","<a href=""https://www.amazon.se/dp/B08F51GBPP"">ORICO 20 Gbps M.2 NVME SSD-höljesadapter, USB 3.2 Gen2 Typ-C till NVME PCI-E M-Key Solid State-Drive Aluminium Externt fodral för SSD-storlek 2230/2242/2260/2280, upp till 4TB(M2PAC3-G20, grå)</a>"
kr0.151,kr151,kr1 809,12 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate 12 TB IronWolf 3,5 tum 7 200 varv/min intern hårddisk för NAS-system med 1-8 fack (256 MB cache, 180 TB/års arbetsbelastningsfrekvens, upp till 210 MB/s) (renoverad)","<a href=""https://www.amazon.se/dp/B084WLXWXD"">Seagate 12 TB IronWolf 3,5 tum 7 200 varv/min intern hårddisk för NAS-system med 1-8 fack (256 MB cache, 180 TB/års arbetsbelastningsfrekvens, upp till 210 MB/s) (renoverad)</a>"
kr0.152,kr152,kr2 436,16 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X18 Enterprise Hårddisk, 16 TB HDD, CMR 3,5 tum, Hyperscale SATA 6 GB/s, 7 200 varv/min, 512e, 4Kn FastFormat, låg latens med förbättrad caching, modellnummer: ST16000NM000J (renoverad)","<a href=""https://www.amazon.se/dp/B0CF5XVHMS"">Seagate Exos X18 Enterprise Hårddisk, 16 TB HDD, CMR 3,5 tum, Hyperscale SATA 6 GB/s, 7 200 varv/min, 512e, 4Kn FastFormat, låg latens med förbättrad caching, modellnummer: ST16000NM000J (renoverad)</a>"
kr0.157,kr157,kr4 720,6 TB x5,,Tape,LTO-7,New,Dell LTO7 Tape Media Pack med 5,"<a href=""https://www.amazon.se/dp/B01N7XJPFF"">Dell LTO7 Tape Media Pack med 5</a>"
kr0.162,kr162,kr973,6 TB,,Tape,LTO-7,New,Quantum Data Cartridge LTO7 Media Ultrium 6TB/15TB,"<a href=""https://www.amazon.se/dp/B018J4H8EO"">Quantum Data Cartridge LTO7 Media Ultrium 6TB/15TB</a>"
