Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
£0.000,£0.088,£44,2.5 TB x201,,Tape,LTO-6,New,"Quantum Lto6 Worm-Lab, Library Pack","<a href=""https://www.amazon.co.uk/dp/B01N2RA84F"">Quantum Lto6 Worm-Lab, Library Pack</a>"
£0.001,£1.083,£13,12 TB,,Tape,LTO-8,Used,Fujifilm 15716800 LTO Ultrium 8 Data Cartridge,"<a href=""https://www.amazon.co.uk/dp/B000RAGEGM"">Fujifilm 15716800 LTO Ultrium 8 Data Cartridge</a>","<a href=""https://www.amazon.co.uk/dp/B000RAGEGM"">Fujifilm 15716800 LTO Ultrium 8 Data Cartridge</a>"
£0.001,£1.291,£116,18 TB x5,2 years,Tape,LTO-9,New,TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC with Limited Lifetime WARRA,"<a href=""https://www.amazon.co.uk/dp/B0BLDXYW1T"">TANDBERG - OVERLAND OT LTO-9 Data Cartridge 5PK W/BC with Limited Lifetime WARRA</a>"
£0.001,£1.408,£17,12 TB,,Tape,LTO-8,New,Fujifilm 15716800 LTO Ultrium 8 Data Cartridge,"<a href=""https://www.amazon.co.uk/dp/B000RAGEGM"">Fujifilm 15716800 LTO Ultrium 8 Data Cartridge</a>","<a href=""https://www.amazon.co.uk/dp/B000RAGEGM"">Fujifilm 15716800 LTO Ultrium 8 Data Cartridge</a>"
£0.002,£1.768,£4,2.5 TB,2 years,Tape,LTO-6,New,Quantum MR-L6MQN-01 Ultrium LTO-6 2.5TB/6.25TB Tape Cartridge,"<a href=""https://www.amazon.co.uk/dp/B00AAHS9R4"">Quantum MR-L6MQN-01 Ultrium LTO-6 2.5TB/6.25TB Tape Cartridge</a>"
£0.003,£2.852,£46,800 GB x20,,Tape,LTO-4,New,HP LTO4 Ultrium 1.6TB RW Custom Labelled Data Cartridge Pack of 20 C7974AL,"<a href=""https://www.amazon.co.uk/dp/B000RPCC3G"">HP LTO4 Ultrium 1.6TB RW Custom Labelled Data Cartridge Pack of 20 C7974AL</a>"
£0.003,£2.947,£4,1.5 TB,2 years,Tape,LTO-5,New,Quantum MR-L5MQN-01 LTO Ultrium 5 1.5/3.0TB Data Cartridge (Brick Red),"<a href=""https://www.amazon.co.uk/dp/B003CNOSBO"">Quantum MR-L5MQN-01 LTO Ultrium 5 1.5/3.0TB Data Cartridge (Brick Red)</a>"
£0.005,£4.647,£56,12 TB,,Tape,LTO-8,Used,"Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black","<a href=""https://www.amazon.co.uk/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>","<a href=""https://www.amazon.co.uk/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>"
£0.005,£4.995,£10,400 GB x5,2 years,Tape,LTO-3,New,Fujifilm - LTO Ultrium 3-400 GB / 800 GB - storage media,"<a href=""https://www.amazon.co.uk/dp/B00079FD3I"">Fujifilm - LTO Ultrium 3-400 GB / 800 GB - storage media</a>"
£0.005,£5.059,£61,12 TB,2 years,Tape,LTO-8,New,IBM 01PL041 DC Ultrium8 LTO8 without Label 12-30TB 960m,"<a href=""https://www.amazon.co.uk/dp/B079YLWNZ6"">IBM 01PL041 DC Ultrium8 LTO8 without Label 12-30TB 960m</a>"
£0.006,£5.582,£67,12 TB,,Tape,LTO-8,New,"Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black","<a href=""https://www.amazon.co.uk/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>","<a href=""https://www.amazon.co.uk/dp/B077LK25K9"">Quantum 3343204 Ultrium LTO 8 Data Cartridge 12TB Native / 30TB 2.5:1 Compression,Black</a>"
